en	zh-Hans	zh-Hant	ja	ko	es	pt	ru	de	fr	it	tr	vi	id	pl	nl	uk	cs	sv	ro
TRAINING	训练	訓練	トレーニング	훈련	Entrenamiento	Treino	Тренировка	Training	Entraînement	Allenamento	Antrenman	Luyện tập	Latihan	Trening	Training	Тренування	Trénink	Träning	Antrenament
ARCADE	对战	對戰	対戦	대전	Arcade	Arcade	Аркада	Arcade	Arcade	Arcade	Arcade	Đấu trường	Arcade	Arcade	Arcade	Аркада	Arkáda	Arkad	Arcade
1V1 ONLINE	1V1 在线	1V1 線上	1V1 オンライン	1V1 온라인	1V1 en línea	1V1 online	1 на 1 онлайн	1 gegen 1 online	1 contre 1 en ligne	1v1 online	1V1 çevrimiçi	1v1 trực tuyến	1V1 daring	1v1 online	1v1 online	1 на 1 онлайн	1v1 online	1v1 online	1v1 online
PROFILE	个人资料	個人資料	プロフィール	프로필	Perfil	Perfil	Профиль	Profil	Profil	Profilo	Profil	Hồ sơ	Profil	Profil	Profiel	Профіль	Profil	Profil	Profil
RANKING	排行榜	排行榜	ランキング	랭킹	Clasificación	Classificação	Рейтинг	Rangliste	Classement	Classifica	Sıralama	Bảng xếp hạng	Peringkat	Ranking	Ranglijst	Рейтинг	Žebříček	Ranking	Clasament
DAILY	每日	每日	デイリー	일일	Diario	Diário	Ежедневно	Täglich	Quotidien	Giornaliero	Günlük	Hằng ngày	Harian	Codziennie	Dagelijks	Щоденно	Denní	Dagligt	Zilnic
SETTINGS	设置	設定	設定	설정	Ajustes	Definições	Настройки	Einstellungen	Réglages	Impostazioni	Ayarlar	Cài đặt	Pengaturan	Ustawienia	Instellingen	Налаштування	Nastavení	Inställningar	Setări
HOW TO PLAY	玩法说明	玩法說明	遊び方	게임 방법	Cómo jugar	Como jogar	Как играть	Spielanleitung	Comment jouer	Come si gioca	Nasıl oynanır	Cách chơi	Cara bermain	Jak grać	Hoe te spelen	Як грати	Jak hrát	Så spelar du	Cum se joacă
MAIN MENU	主菜单	主選單	メインメニュー	메인 메뉴	Menú principal	Menu principal	Главное меню	Hauptmenü	Menu principal	Menu principale	Ana menü	Menu chính	Menu utama	Menu główne	Hoofdmenu	Головне меню	Hlavní nabídka	Huvudmeny	Meniu principal
BACK	返回	返回	戻る	뒤로	Atrás	Voltar	Назад	Zurück	Retour	Indietro	Geri	Quay lại	Kembali	Wstecz	Terug	Назад	Zpět	Tillbaka	Înapoi
BACK TO MENU	返回菜单	返回選單	メニューへ戻る	메뉴로	Volver al menú	Voltar ao menu	В меню	Zum Menü	Retour au menu	Torna al menu	Menüye dön	Về menu	Ke menu	Do menu	Naar menu	До меню	Do nabídky	Till menyn	Înapoi la meniu
CONTINUE	继续	繼續	つづける	계속	Continuar	Continuar	Продолжить	Weiter	Continuer	Continua	Devam	Tiếp tục	Lanjutkan	Kontynuuj	Doorgaan	Продовжити	Pokračovat	Fortsätt	Continuă
DONE	完成	完成	完了	완료	Listo	Concluído	Готово	Fertig	Terminé	Fatto	Tamam	Xong	Selesai	Gotowe	Klaar	Готово	Hotovo	Klar	Gata
CANCEL	取消	取消	キャンセル	취소	Cancelar	Cancelar	Отмена	Abbrechen	Annuler	Annulla	İptal	Hủy	Batal	Anuluj	Annuleren	Скасувати	Zrušit	Avbryt	Anulează
TRY AGAIN	再试一次	再試一次	もう一度	다시 시도	Reintentar	Tentar de novo	Ещё раз	Nochmal	Réessayer	Riprova	Tekrar dene	Thử lại	Coba lagi	Spróbuj ponownie	Opnieuw	Спробувати ще	Zkusit znovu	Försök igen	Încearcă din nou
LOADING...	加载中…	載入中…	読み込み中…	불러오는 중…	Cargando...	A carregar...	Загрузка...	Wird geladen...	Chargement...	Caricamento...	Yükleniyor...	Đang tải...	Memuat...	Ładowanie...	Laden...	Завантаження...	Načítání...	Laddar...	Se încarcă...
PLEASE WAIT	请稍候	請稍候	お待ちください	잠시만 기다려 주세요	Espera un momento	Aguarde	Подождите	Bitte warten	Veuillez patienter	Attendi	Lütfen bekleyin	Vui lòng đợi	Mohon tunggu	Proszę czekać	Even geduld	Зачекайте	Čekejte prosím	Vänta	Te rugăm așteaptă
BEST	最佳	最佳	ベスト	최고	Récord	Recorde	Рекорд	Bestwert	Record	Record	En iyi	Tốt nhất	Terbaik	Rekord	Beste	Рекорд	Nejlepší	Bäst	Record
PERSONAL BEST	个人最佳	個人最佳	自己ベスト	개인 최고	Récord personal	Recorde pessoal	Личный рекорд	Persönliche Bestleistung	Record personnel	Record personale	Kişisel rekor	Kỷ lục cá nhân	Rekor pribadi	Rekord osobisty	Persoonlijk record	Особистий рекорд	Osobní rekord	Personbästa	Record personal
TIME REMAINING	剩余时间	剩餘時間	残り時間	남은 시간	Tiempo restante	Tempo restante	Осталось времени	Restzeit	Temps restant	Tempo rimasto	Kalan süre	Thời gian còn lại	Sisa waktu	Pozostały czas	Resterende tijd	Залишилось часу	Zbývající čas	Tid kvar	Timp rămas
TIME	时间	時間	タイム	시간	Tiempo	Tempo	Время	Zeit	Temps	Tempo	Süre	Thời gian	Waktu	Czas	Tijd	Час	Čas	Tid	Timp
TAP STICKS - BUILD DIGITS	点击火柴棒 组成数字	點擊火柴棒 組成數字	スティックをタップして数字を作ろう	막대를 눌러 숫자를 만드세요	Toca los palos y forma cifras	Toca nos palitos e forma algarismos	Нажимайте на палочки — стройте цифры	Stäbchen antippen – Ziffern bauen	Touche les bâtonnets, forme des chiffres	Tocca i bastoncini e forma le cifre	Çubuklara dokun, rakam oluştur	Chạm que diêm để tạo chữ số	Ketuk batang untuk membentuk angka	Dotknij patyczków i twórz cyfry	Tik op de stokjes en vorm cijfers	Торкайтесь паличок — складайте цифри	Klepni na sirky a tvoř číslice	Tryck på stickorna – bygg siffror	Atinge bețele - formează cifre
CORRECT ANSWER	正确答案	正確答案	正解	정답	Respuesta correcta	Resposta correta	Правильный ответ	Richtige Antwort	Bonne réponse	Risposta corretta	Doğru cevap	Đáp án đúng	Jawaban benar	Poprawna odpowiedź	Juiste antwoord	Правильна відповідь	Správná odpověď	Rätt svar	Răspunsul corect
CORRECT!	正确！	正確！	正解！	정답!	¡Correcto!	Correto!	Верно!	Richtig!	Correct !	Corretto!	Doğru!	Chính xác!	Benar!	Poprawnie!	Correct!	Правильно!	Správně!	Rätt!	Corect!
WELL DONE!	做得好！	做得好！	おみごと！	잘했어요!	¡Bien hecho!	Muito bem!	Отлично!	Gut gemacht!	Bravo !	Ottimo!	Aferin!	Làm tốt lắm!	Bagus!	Świetnie!	Goed gedaan!	Молодець!	Výborně!	Bra jobbat!	Bravo!
YOU WIN!	你赢了！	你贏了！	勝利！	승리!	¡Has ganado!	Venceste!	Победа!	Gewonnen!	Gagné !	Hai vinto!	Kazandın!	Bạn thắng!	Kamu menang!	Wygrana!	Gewonnen!	Перемога!	Vyhrál jsi!	Du vann!	Ai câștigat!
TIME'S UP!	时间到！	時間到！	タイムアップ！	시간 종료!	¡Se acabó el tiempo!	Acabou o tempo!	Время вышло!	Zeit abgelaufen!	Temps écoulé !	Tempo scaduto!	Süre doldu!	Hết giờ!	Waktu habis!	Koniec czasu!	Tijd voorbij!	Час вийшов!	Čas vypršel!	Tiden är ute!	Timpul a expirat!
ROUND	回合	回合	ラウンド	라운드	Ronda	Ronda	Раунд	Runde	Manche	Round	Tur	Vòng	Ronde	Runda	Ronde	Раунд	Kolo	Omgång	Runda
ROUND WON!	回合胜利！	回合勝利！	ラウンド勝利！	라운드 승리!	¡Ronda ganada!	Ronda vencida!	Раунд выигран!	Runde gewonnen!	Manche gagnée !	Round vinto!	Turu kazandın!	Thắng vòng này!	Ronde dimenangkan!	Runda wygrana!	Ronde gewonnen!	Раунд виграно!	Kolo vyhráno!	Omgången vunnen!	Rundă câștigată!
ROUND LOST	回合失利	回合失利	ラウンド敗北	라운드 패배	Ronda perdida	Ronda perdida	Раунд проигран	Runde verloren	Manche perdue	Round perso	Turu kaybettin	Thua vòng này	Ronde kalah	Runda przegrana	Ronde verloren	Раунд програно	Kolo prohráno	Omgången förlorad	Rundă pierdută
